id,tagged_sentence
3,"[('For', 'IN'), ('you', 'PP'), ('have', 'HV'), ('been', 'BE'), ('reborn', 'NN'), (',', ','), ('not', '*'), ('from', 'IN'), ('corruptible', 'IN'), ('seed', 'NN'), ('but', 'CC'), ('from', 'IN'), ('incorruptible', 'NN'), (',', ','), ('through', 'IN'), ('the', 'AT'), ('word', 'NN'), ('of', 'IN'), ('God', 'NP'), ('.', '.')]"
4,"[('Man', 'NN'), ('had', 'HV'), ('enough', 'VB'), ('to', 'TO'), ('worry', 'VB'), ('about', 'IN'), ('managing', 'VB'), ('to', 'TO'), ('get', 'VB'), ('up', 'RP'), ('there', 'RB'), ('and', 'CC'), ('stay', 'VB'), ('without', 'IN'), ('being', 'BE'), ('burdened', 'NN'), ('with', 'IN'), ('rules', 'NN'), ('once', 'RB'), ('aloft', 'NN'), ('.', '.')]"
6,"[('He', 'PP'), ('trudged', 'VB'), ('on', 'IN'), (',', ','), ('his', 'PP'), ('aching', 'PP'), ('eyes', 'NN'), ('focused', 'VB'), ('straight', 'RB'), ('ahead', 'RB'), ('.', '.')]"
12,"[('``', '``'), ('But', 'CC'), ('I', 'PP'), ('believe', 'VB'), ('if', 'CS'), ('people', 'NN'), ('were', 'BE'), ('better', 'RB'), ('informed', 'VB'), ('on', 'IN'), ('this', 'DT'), ('question', 'NN'), (',', ','), ('most', 'NN'), ('of', 'IN'), ('them', 'PP'), ('would', 'MD'), ('oppose', 'VB'), ('it', 'PP'), ('also', 'RB'), ('.', '.')]"
15,"[('then', 'RB'), (',', ','), ('to', 'IN'), ('better', 'JJ'), ('purpose', 'NN'), (',', ','), ('he', 'PP'), ('took', 'VB'), ('hold', 'NN'), ('of', 'IN'), ('the', 'AT'), ('knot', 'NN'), ('and', 'CC'), ('with', 'IN'), ('dextrous', 'PP'), ('fingers', 'NN'), (',', ','), ('untied', 'VB'), ('it', 'PP'), ('.', '.')]"
16,"[('There', 'EX'), ('are', 'BE'), ('lots', 'NN'), ('of', 'IN'), ('jobs', 'NN'), ('available', 'JJ'), ('for', 'IN'), ('trained', 'VB'), ('high', 'JJ'), ('school', 'NN'), ('graduates', 'NN'), (',', ','), ('but', 'CC'), ('not', '*'), ('for', 'IN'), ('the', 'AT'), ('dropouts', 'NN'), ('.', '.')]"
18,"[('No', 'AT'), ('one', 'PN'), ('was', 'BE'), ('behind', 'IN'), ('it', 'PP'), (',', ','), ('but', 'CC'), ('in', 'IN'), ('the', 'AT'), ('rear', 'NN'), ('wall', 'NN'), ('of', 'IN'), ('the', 'AT'), ('office', 'NN'), ('I', 'PP'), ('noticed', 'VB'), (',', ','), ('for', 'IN'), ('the', 'AT'), ('first', 'OD'), ('time', 'NN'), (',', ','), ('a', 'AT'), ('door', 'NN'), ('which', 'WD'), ('had', 'HV'), ('been', 'BE'), ('left', 'VB'), ('partially', 'AT'), ('open', 'JJ'), ('.', '.')]"
19,"[('Then', 'RB'), (',', ','), ('if', 'CS'), ('Myra', 'PP'), ('does', 'DO'), ('nothing', 'PN'), ('about', 'IN'), ('fetching', 'IN'), ('her', 'PP'), (',', ','), (""I'll"", 'PP'), ('pack', 'IN'), ('her', 'PP'), ('right', 'JJ'), ('back', 'NN'), ('to', 'IN'), ('her', 'PP'), ('mother', 'NN'), ('--', '--'), ('if', 'CS'), ('I', 'PP'), ('have', 'HV'), ('to', 'TO'), ('take', 'VB'), ('her', 'PP'), ('myself', 'PP'), (""''"", ""''""), ('!', '.'), ('!', '.')]"
27,"[('In', 'IN'), ('many', 'AP'), ('cities', 'NN'), ('in', 'IN'), ('the', 'AT'), ('United', 'VB'), ('States', 'NN'), ('clinics', 'NN'), ('associated', 'VB'), ('with', 'IN'), ('dental', 'JJ'), ('schools', 'NN'), ('will', 'MD'), ('take', 'VB'), ('patients', 'NN'), ('at', 'IN'), ('a', 'AT'), ('nominal', 'JJ'), ('fee', 'NN'), ('.', '.')]"
28,"[('``', '``'), ('Not', 'VB'), ('to', 'IN'), ('you', 'PP'), (""''"", ""''""), (',', ','), ('she', 'PP'), ('said', 'VB'), ('smiling', 'NN'), ('.', '.')]"
32,"[('The', 'AT'), ('Artkino', 'JJ'), ('presentation', 'NN'), (',', ','), ('with', 'IN'), ('English', 'JJ'), ('titles', 'NN'), (',', ','), ('opened', 'VB'), ('on', 'IN'), ('Saturday', 'NN'), ('at', 'IN'), ('the', 'AT'), ('Cameo', 'AT'), ('Theatre', 'NN'), ('.', '.')]"
36,"[('Arlene', 'NP'), ('was', 'BE'), ('boosting', 'VB'), ('them', 'PP'), ('up', 'RP'), ('when', 'IN'), ('the', 'AT'), ('policeman', 'NN'), ('came', 'VB'), ('by', 'IN'), ('.', '.')]"
37,"[('In', 'IN'), ('many', 'AP'), ('localities', 'NN'), (',', ','), ('now', 'RB'), (',', ','), ('the', 'AT'), ('law', 'NN'), ('requires', 'VB'), ('all', 'AB'), ('pools', 'VB'), ('to', 'TO'), ('be', 'BE'), ('fenced', 'NN'), (',', ','), ('usually', 'RB'), ('to', 'IN'), ('a', 'AT'), ('minimum', 'NN'), ('height', 'NN'), ('of', 'IN'), ('5', 'CD'), ('feet', 'NN'), ('.', '.')]"
44,"[('Finally', 'RB'), ('he', 'PP'), ('learned', 'VB'), ('through', 'IN'), ('the', 'AT'), ('grapevine', 'NN'), ('that', 'CS'), ('the', 'AT'), ('culprit', 'NN'), ('might', 'MD'), ('be', 'BE'), ('one', 'CD'), ('James', 'NP'), ('W.', 'NP'), ('Robinson', 'NN'), ('in', 'IN'), ('Pope', 'NP'), ('County', 'NN'), ('.', '.')]"
45,"[('Do', 'DO'), ('you', 'PP'), ('yearn', 'VB'), ('to', 'TO'), ('make', 'VB'), ('cakes', 'NN'), ('and', 'CC'), ('pies', 'NN'), (',', ','), ('or', 'CC'), ('special', 'JJ'), ('cookies', 'NN'), ('and', 'CC'), ('candies', '.'), ('?', '.'), ('?', '.')]"
48,"[('Aids', 'NN'), ('in', 'IN'), ('preventing', 'VB'), ('foamy', 'IN'), ('bloat', 'NN'), ('.', '.')]"
