id,tagged_sentence
3,"[('For', 'IN'), ('you', 'PP'), ('have', 'HV'), ('been', 'BE'), ('reborn', 'VB'), (',', ','), ('not', '*'), ('from', 'IN'), ('corruptible', 'JJ'), ('seed', 'NN'), ('but', 'CC'), ('from', 'IN'), ('incorruptible', 'JJ'), (',', ','), ('through', 'IN'), ('the', 'AT'), ('word', 'NN'), ('of', 'IN'), ('God', 'NP'), ('.', '.')]"
4,"[('Man', 'NN'), ('had', 'HV'), ('enough', 'AP'), ('to', 'TO'), ('worry', 'VB'), ('about', 'IN'), ('managing', 'VB'), ('to', 'TO'), ('get', 'VB'), ('up', 'RP'), ('there', 'RB'), ('and', 'CC'), ('stay', 'VB'), ('without', 'IN'), ('being', 'BE'), ('burdened', 'VB'), ('with', 'IN'), ('rules', 'NN'), ('once', 'RB'), ('aloft', 'RB'), ('.', '.')]"
6,"[('He', 'PP'), ('trudged', 'VB'), ('on', 'RP'), (',', ','), ('his', 'PP'), ('aching', 'VB'), ('eyes', 'NN'), ('focused', 'VB'), ('straight', 'RB'), ('ahead', 'RB'), ('.', '.')]"
12,"[('``', '``'), ('But', 'CC'), ('I', 'PP'), ('believe', 'VB'), ('if', 'CS'), ('people', 'NN'), ('were', 'BE'), ('better', 'RB'), ('informed', 'VB'), ('on', 'IN'), ('this', 'DT'), ('question', 'NN'), (',', ','), ('most', 'RB'), ('of', 'IN'), ('them', 'PP'), ('would', 'MD'), ('oppose', 'VB'), ('it', 'PP'), ('also', 'RB'), ('.', '.')]"
15,"[('then', 'RB'), (',', ','), ('to', 'IN'), ('better', 'JJ'), ('purpose', 'NN'), (',', ','), ('he', 'PP'), ('took', 'VB'), ('hold', 'NN'), ('of', 'IN'), ('the', 'AT'), ('knot', 'NN'), ('and', 'CC'), ('with', 'IN'), ('dextrous', 'JJ'), ('fingers', 'NN'), (',', ','), ('untied', 'CS'), ('it', 'PP'), ('.', '.')]"
16,"[('There', 'EX'), ('are', 'BE'), ('lots', 'NN'), ('of', 'IN'), ('jobs', 'NN'), ('available', 'JJ'), ('for', 'IN'), ('trained', 'VB'), ('high', 'JJ'), ('school', 'NN'), ('graduates', 'NN'), (',', ','), ('but', 'CC'), ('not', '*'), ('for', 'IN'), ('the', 'AT'), ('dropouts', 'NN'), ('.', '.')]"
18,"[('No', 'AT'), ('one', 'CD'), ('was', 'BE'), ('behind', 'IN'), ('it', 'PP'), (',', ','), ('but', 'CC'), ('in', 'IN'), ('the', 'AT'), ('rear', 'JJ'), ('wall', 'NN'), ('of', 'IN'), ('the', 'AT'), ('office', 'NN'), ('I', 'PP'), ('noticed', 'VB'), (',', ','), ('for', 'IN'), ('the', 'AT'), ('first', 'OD'), ('time', 'NN'), (',', ','), ('a', 'AT'), ('door', 'NN'), ('which', 'WD'), ('had', 'HV'), ('been', 'BE'), ('left', 'VB'), ('partially', 'RB'), ('open', 'VB'), ('.', '.')]"
19,"[('Then', 'RB'), (',', ','), ('if', 'CS'), ('Myra', 'NP'), ('does', 'DO'), ('nothing', 'PN'), ('about', 'IN'), ('fetching', 'JJ'), ('her', 'PP'), (',', ','), (""I'll"", 'PP'), ('pack', 'VB'), ('her', 'PP'), ('right', 'JJ'), ('back', 'NN'), ('to', 'IN'), ('her', 'PP'), ('mother', 'NN'), ('--', '--'), ('if', 'CS'), ('I', 'PP'), ('have', 'HV'), ('to', 'TO'), ('take', 'VB'), ('her', 'PP'), ('myself', 'PP'), (""''"", ""''""), ('!', '.'), ('!', '.')]"
27,"[('In', 'IN'), ('many', 'AP'), ('cities', 'NN'), ('in', 'IN'), ('the', 'AT'), ('United', 'VB'), ('States', 'NN'), ('clinics', 'NN'), ('associated', 'VB'), ('with', 'IN'), ('dental', 'JJ'), ('schools', 'NN'), ('will', 'MD'), ('take', 'VB'), ('patients', 'NN'), ('at', 'IN'), ('a', 'AT'), ('nominal', 'JJ'), ('fee', 'NN'), ('.', '.')]"
28,"[('``', '``'), ('Not', '*'), ('to', 'IN'), ('you', 'PP'), (""''"", ""''""), (',', ','), ('she', 'PP'), ('said', 'VB'), ('smiling', 'VB'), ('.', '.')]"
